,genre,publisher,critic_Score,user_Score,developer,cluster
603,5,16,78.0,6.6,50,47
604,5,17,84.0,8.4,48,73
605,0,1,66.0,6.5,175,16
606,0,2,86.0,6.2,82,36
607,5,0,89.0,9.0,176,77
608,0,5,0.0,8.6,12,79
609,0,0,91.0,8.9,177,36
610,5,2,0.0,0.0,1,10
611,8,7,84.0,9.1,98,72
612,1,7,86.0,8.5,35,36
613,0,40,0.0,0.0,1,17
614,7,0,0.0,0.0,1,10
615,6,0,75.0,5.6,54,39
616,5,41,90.0,7.9,178,87
617,5,18,76.0,7.7,179,47
618,5,20,0.0,8.3,56,90
619,5,36,0.0,0.0,1,52
620,1,7,77.0,8.7,35,6
621,5,16,80.0,6.6,50,47
622,0,12,78.0,6.7,69,6
623,0,7,82.0,6.9,35,6
624,6,0,68.0,8.2,180,81
625,1,33,0.0,0.0,1,52
626,4,7,76.0,7.1,24,39
627,5,18,72.0,7.2,64,47
628,5,39,71.0,6.6,172,88
629,2,0,81.0,8.9,34,6
630,2,0,88.0,8.9,0,36
631,10,17,84.0,9.0,48,73
632,3,8,80.0,8.6,181,6
633,0,42,0.0,0.0,1,17
634,6,0,87.0,9.4,54,77
635,0,7,79.0,5.5,57,6
636,5,3,80.0,7.5,63,72
637,3,4,83.0,7.8,60,72
638,2,8,87.0,8.1,124,36
639,3,8,74.0,5.7,182,16
640,3,5,0.0,0.0,12,55
641,8,4,69.0,6.7,183,81
642,2,0,77.0,8.0,0,39
643,2,23,74.0,8.0,80,29
644,5,5,0.0,7.4,12,79
645,9,13,79.0,8.0,46,47
646,4,12,0.0,0.0,69,32
647,8,2,91.0,8.2,101,77
648,5,5,92.0,8.8,12,77
649,0,7,80.0,5.6,18,6
650,6,0,84.0,8.6,48,72
651,0,7,84.0,5.4,39,36
652,5,17,0.0,0.0,1,90
653,5,16,71.0,6.6,143,47
654,5,17,0.0,0.0,1,90
655,5,18,80.0,7.6,184,47
656,3,7,92.0,8.3,58,36
657,1,7,88.0,7.0,140,36
658,5,4,80.0,7.9,64,72
659,3,4,92.0,8.1,58,77
660,1,1,79.0,5.8,53,6
661,8,2,88.0,8.2,185,77
662,7,31,0.0,0.0,1,52
663,6,4,94.0,9.2,116,77
664,5,5,76.0,6.2,52,39
665,5,12,80.0,6.6,69,47
666,8,5,73.0,7.2,52,39
667,5,27,81.0,7.5,119,2
668,0,7,81.0,6.1,18,6
669,1,27,82.0,8.9,168,42
670,0,7,82.0,5.4,18,6
671,6,0,0.0,0.0,1,10
672,4,0,85.0,8.7,186,72
673,4,7,74.0,7.9,88,39
674,6,13,82.0,6.3,46,73
675,2,8,66.0,7.3,124,81
676,7,18,79.0,7.6,187,47
677,8,3,0.0,0.0,1,97
678,6,0,69.0,7.6,34,81
679,5,13,83.0,7.5,126,73
680,4,43,0.0,0.0,1,17
681,2,4,0.0,6.6,188,79
682,8,4,64.0,7.5,189,81
683,4,12,77.0,9.0,84,47
684,6,9,87.0,7.8,46,36
685,0,5,62.0,5.2,12,70
686,1,1,85.0,8.2,190,36
687,0,4,0.0,0.0,1,38
688,1,7,89.0,8.5,169,36
689,0,12,0.0,0.0,1,94
690,0,2,90.0,6.7,82,36
691,5,44,78.0,9.3,191,87
692,6,9,81.0,8.9,14,72
693,7,0,84.0,8.7,0,72
694,2,27,0.0,0.0,1,22
695,5,1,0.0,0.0,1,10
696,0,2,84.0,4.9,82,36
697,9,18,86.0,8.3,134,73
698,8,7,73.0,5.0,192,39
699,5,17,84.0,9.0,48,73
700,0,45,0.0,0.0,1,82
701,8,2,83.0,7.9,101,72
702,5,27,0.0,0.0,1,22
703,5,2,89.0,8.1,82,77
704,5,17,85.0,7.6,48,73
705,6,4,90.0,5.6,42,77
706,7,27,44.0,6.2,193,9
707,6,13,77.0,7.1,194,47
708,11,7,0.0,8.3,170,79
709,3,0,69.0,8.2,21,16
710,3,30,80.0,6.3,58,42
711,11,4,0.0,0.0,1,97
712,8,46,95.0,8.5,77,87
713,0,0,64.0,7.1,46,81
714,1,7,72.0,7.8,35,16
715,8,2,0.0,0.0,1,97
716,8,5,80.0,6.9,90,72
717,4,7,49.0,5.2,195,31
718,4,12,73.0,7.1,69,47
719,11,12,0.0,0.0,1,32
720,9,27,83.0,7.9,157,2
721,6,0,0.0,0.0,1,10
722,5,18,74.0,7.9,172,47
723,5,12,89.0,8.8,45,73
724,2,0,86.0,8.5,196,36
725,3,47,0.0,5.3,197,82
726,6,0,0.0,0.0,1,10
727,5,27,55.0,0.0,198,53
728,1,25,88.0,9.2,32,2
729,5,5,85.0,7.7,52,72
730,6,13,82.0,8.6,46,73
731,9,25,92.0,8.8,32,2
732,1,7,72.0,7.1,30,16
733,3,48,75.0,8.8,124,34
734,1,7,59.0,5.9,199,70
735,5,31,0.0,0.0,1,52
736,5,2,0.0,0.0,1,10
737,0,7,0.0,5.5,18,79
738,8,3,72.0,9.0,92,39
739,5,5,82.0,8.2,200,72
740,1,7,73.0,6.0,30,16
741,2,0,78.0,8.9,23,6
742,3,1,86.0,8.2,58,36
743,1,1,0.0,0.0,1,10
744,0,0,0.0,0.0,1,10
745,3,2,48.0,3.3,78,31
746,0,7,86.0,7.7,18,36
747,3,5,73.0,7.7,71,16
748,6,0,62.0,8.1,201,81
749,6,25,89.0,8.7,165,2
750,8,4,89.0,8.1,7,77
751,3,5,70.0,7.7,12,16
752,8,7,81.0,6.6,29,72
753,5,7,64.0,6.4,169,81
754,6,0,92.0,9.1,54,77
755,6,7,89.0,7.4,116,77
756,5,7,88.0,8.8,98,36
757,7,37,71.0,5.7,202,88
758,3,5,0.0,8.4,12,79
759,9,37,76.0,7.1,163,88
760,5,4,87.0,8.8,203,77
761,1,3,71.0,6.1,83,16
762,5,7,76.0,7.9,103,39
763,6,13,75.0,7.8,204,47
764,5,7,0.0,8.5,89,79
765,1,7,80.0,6.2,205,6
766,0,7,80.0,7.7,30,6
767,2,19,56.0,4.1,206,53
768,5,17,68.0,6.6,48,95
769,6,0,0.0,0.0,1,10
770,0,3,81.0,8.7,130,6
