id,name,platform,year_of_Release,genre,publisher,na_Sales,eu_Sales,jp_Sales,other_Sales,global_Sales,critic_Score,user_Score,developer,rating
122,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,7.8,Epic Games,M
123,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,7.4,Rare Ltd.,E10+
124,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,8.3,Epic Games,M
125,FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.07,82.0,5.7,EA Sports,E
126,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,8.8,KCEJ,M
127,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,9.4,KCEJ,M
128,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,8.7,Kojima Productions,M
129,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,7.6,Square Enix,T
130,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,9.1,Naughty Dog,M
131,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,6.8,SCE/WWS Media Molecule,E
132,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,9.2,Capcom,M
133,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,8.7,Level 5,E10+
134,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.9,Namco,T
135,Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,6.1,Bungie Software Bungie,T
136,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.0,0.51,5.63,80.0,8.9,Traveller's Tales,E10+
137,Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,7.2,Taito Corporation,E
138,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,79.0,8.8,HAL Labs,E
139,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,8.6,Ubisoft Montreal,M
140,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,7.7,Ubisoft Montreal,M
141,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,8.0,Turn 10,E
142,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,7.8,Nintendo,E
143,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,8.7,Capcom,T
144,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,8.3,Intelligent Systems,E
145,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.47,96.0,8.6,Rocksteady Studios,T
146,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,,,,
147,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,,,,
148,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,7.1,Traveller's Tales,E
149,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.72,1.83,0.0,0.83,5.39,85.0,7.6,Treyarch,M
150,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,7.3,Square Enix,T
151,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,8.9,SquareSoft,T
152,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,6.7,Ubisoft,M
153,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,6.6,SquareSoft,T
154,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,90.0,8.5,Rare Ltd.,E
155,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.21,1.55,0.01,0.48,5.26,81.0,5.4,Sledgehammer Games,M
156,Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.25,90.0,8.8,Ubisoft Montreal,M
157,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.73,2.07,0.0,0.45,5.25,97.0,7.8,Rockstar North,M
158,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85.0,,Core Design Ltd.,T
159,Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94.0,8.5,EA Tiburon,E
160,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,8.8,Level 5,T
161,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,,,,
162,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,8.6,Level 5,E
163,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.31,1.27,0.32,5.19,84.0,8.1,Nintendo,E
164,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.08,3.47,0.03,0.57,5.16,90.0,6.1,Electronic Arts,E
165,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1.99,2.32,0.0,0.85,5.16,,,,
166,Tomodachi Life,3DS,2013,Simulation,Nintendo,0.96,2.05,1.9,0.23,5.15,71.0,7.6,Nintendo,E
167,Diablo III,PC,2012,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.13,88.0,4.0,Blizzard Entertainment,M
168,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,7.6,EA LA,T
169,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,,,,
170,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,8.5,Harmonix Music Systems,T
171,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,6.5,Lionhead Studios,M
172,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.09,,,,
173,Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,7.5,Capcom,M
174,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,8.0,Nintendo,E
175,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.06,89.0,8.0,EA Sports,E
176,Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91.0,9.0,Capcom,M
177,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86.0,8.0,Rockstar Leeds,M
178,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92.0,9.2,Neversoft Entertainment,T
179,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,,,,
180,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,,,,
181,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82.0,8.2,Neversoft Entertainment BudCat,T
182,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,7.1,Nintendo,T
183,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.93,,,,
184,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93.0,8.5,Bethesda Game Studios,M
185,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.71,0.12,0.77,4.92,88.0,8.1,Naughty Dog SCE/WWS,T
186,Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,8.0,EA Sports,E
187,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,88.0,8.1,Rare Ltd.,E
188,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87,,,,
189,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.58,1.06,0.81,0.38,4.83,,,,
190,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.57,1.68,0.0,0.58,4.83,93.0,8.2,Blizzard Entertainment,T
191,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,7.3,Ubisoft Montreal,M
192,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,8.7,SCE Santa Monica,M
193,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,9.0,Naughty Dog,E
194,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,5.4,TT Fusion,E
195,Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,62.0,7.6,Reflections Interactive,T
196,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,8.7,Rocksteady Studios,T
197,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,,,,
198,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98.0,7.7,Neversoft Entertainment,T
199,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82.0,8.2,Stormfront Studios,T
200,Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91.0,8.6,Core Design Ltd.,T
